РФ	Процентр страховых взносов
01000.0384.Корпоративный центр	0.28
"01700.0384.Макрорегиональный филиал ""Дальний Восток"""	0.28
"01701.0384.Приморский филиал ПАО ""Ростелеком"""	0.28
"01702.0384.Магаданский филиал ПАО ""Ростелеком"""	0.27
"01703.0384.Камчатский филиал ПАО ""Ростелеком"""	0.29
"01704.0384.Амурский филиал ПАО ""Ростелеком"""	0.29
"01705.0384.Сахалинский филиал ПАО ""Ростелеком"""	0.29
"01706.0384.Хабаровский филиал ПАО ""Ростелеком"""	0.27
"01708.0384.Филиал Сахателеком ПАО ""Ростелеком"""	0.27
"01200.0384.Макрорегиональный филиал ""Северо-Запад"""	0.28
"01201.0384.Архангельский филиал ПАО ""Ростелеком"""	0.27
"01202.0384.Вологодский филиал ПАО ""Ростелеком"""	0.29
"01203.0384.Калининградский филиал ПАО ""Ростелеком"""	0.27
"01204.0384.Карельский филиал ПАО ""Ростелеком"""	0.27
"01205.0384.Мурманский филиал ПАО ""Ростелеком"""	0.29
"01211.0384.Коми филиал ПАО ""Ростелеком"""	0.28
"01215.0384.Филиал в Новгородской и Псковской областях ПАО ""Ростелеком"""	0.27
"01600.0384.Макрорегиональный филиал ""Сибирь"" ПАО ""Ростелеком"""	0.29
"01603.0384.Бурятский филиал ПАО ""Ростелеком"""	0.28
"01605.0384.Алтайский филиал ПАО ""Ростелеком"""	0.27
"01606.0384.Красноярский филиал ПАО ""Ростелеком"""	0.27
"01607.0384.Иркутский филиал ПАО ""Ростелеком"""	0.29
"01608.0384.Кемеровский филиал ПАО ""Ростелеком"""	0.28
"01609.0384.Новосибирский филиал ПАО ""Ростелеком"""	0.28
"01610.0384.Омский филиал ПАО ""Ростелеком"""	0.29
"01611.0384.Томский филиал ПАО ""Ростелеком"""	0.29
"01500.0384.Макрорегиональный филиал ""Урал"" ПАО ""Ростелеком"""	0.29
"01501.0384.Филиал в Тюменской и Курганской областях ПАО ""Ростелеком"""	0.27
"01502.0384.Пермский филиал ПАО ""Ростелеком"""	0.28
"01504.0384.Екатеринбургский филиал ПАО ""Ростелеком"""	0.27
"01505.0384.Челябинский филиал ПАО ""Ростелеком"""	0.27
"01507.0384.Ханты-Мансийский филиал ПАО ""Ростелеком"""	0.28
"01508.0384.Ямало-Ненецкий филиал ПАО ""Ростелеком"""	0.27
"01100.0384.Макрорегиональный филиал ""Центр"" ПАО ""Ростелеком"""	0.29
"01101.0384.Белгородский филиал ПАО ""Ростелеком"""	0.27
"01102.0384.Филиал в Брянской и Орловской областях ПАО ""Ростелеком"""	0.27
"01104.0384.Филиал во Владимирской и Ивановской областях ПАО ""Ростелеком"""	0.27
"01105.0384.Воронежский филиал ПАО ""Ростелеком"""	0.28
"01106.0384.Калужский филиал ПАО ""Ростелеком"""	0.29
"01107.0384.Курский филиал ПАО ""Ростелеком"""	0.29
"01108.0384.Липецкий филиал ПАО ""Ростелеком"""	0.29
"01112.0384.Смоленский филиал ПАО ""Ростелеком"""	0.28
"01113.0384.Тамбовский филиал ПАО ""Ростелеком"""	0.29
"01114.0384.Тверской филиал ПАО ""Ростелеком"""	0.29
"01115.0384.Филиал в Тульской и Рязанской областях ПАО ""Ростелеком"""	0.28
"01116.0384.Филиал в Ярославской и Костромской областях ПАО ""Ростелеком"""	0.29
"01400.0384.Макрорегиональный филиал ""Юг"" ПАО ""Ростелеком"""	0.29
01402.0384.Астраханский филиал ПАО Ростелеком	0.27
"01403.0384.Волгоградский филиал ПАО ""Ростелеком"""	0.29
"01404.0384.Кабардино-Балкарский филиал ПАО ""Ростелеком"""	0.29
01405.0384.Калмыцкий филиал ПАО Ростелеком	0.29
01407.0384.Краснодарский филиал ПАО Ростелеком	0.28
01408.0384.Ростовский филиал ПАО Ростелеком	0.27
01409.0384.Северо-Осетинский филиал ПАО Ростелеком	0.29
"01410.0384.Ставропольский филиал ПАО ""Ростелеком"""	0.27
01411.0384.Дагестанский филиал ПАО Ростелеком	0.27
"01412.0384.Ингушский филиал ПАО ""Ростелеком"""	0.28
01300.0384.Макрорегиональный филиал «Волга»	0.28
"01302.0384.Кировский филиал ПАО ""Ростелеком"""	0.27
"01303.0384.Нижегородский филиал ПАО ""Ростелеком"""	0.28
"01304.0384.Оренбургский филиал ПАО ""Ростелеком"""	0.29
"01305.0384.Пензенский филиал ПАО ""Ростелеком"""	0.28
"01306.0384.Самарский филиал ПАО ""Ростелеком"""	0.27
"01307.0384.Саратовский филиал ПАО ""Ростелеком"""	0.29
"01308.0384.Ульяновский филиал ПАО""Ростелеком"""	0.27
"01309.0384.Филиал в Республике Марий Эл ПАО ""Ростелеком"""	0.28
"01310.0384.Филиал в Республике Мордовия ПАО ""Ростелеком"""	0.28
"01311.0384.Филиал в Удмуртской Республике ПАО ""Ростелеком"""	0.29
"01312.0384.Филиал в Чувашской Республике ПАО ""Ростелеком"""	0.28
"01313.0384.Филиал в Республике Татарстан ПАО ""Ростелеком"""	0.29
01001.0384.УПЦ	0.29
01004.0384.Филиал ОЦО	0.28
"01305.0384.Пензенский филиал ПАО ""Ростелеком"""	0.28
"01306.0384.Самарский филиал ПАО ""Ростелеком"""	0.27
"01307.0384.Саратовский филиал ПАО ""Ростелеком"""	0.29
"01308.0384.Ульяновский филиал ПАО""Ростелеком"""	0.27
"01309.0384.Филиал в Республике Марий Эл ПАО ""Ростелеком"""	0.28
"01310.0384.Филиал в Республике Мордовия ПАО ""Ростелеком"""	0.28
"01311.0384.Филиал в Удмуртской Республике ПАО ""Ростелеком"""	0.29
"01312.0384.Филиал в Чувашской Республике ПАО ""Ростелеком"""	0.28
"01313.0384.Филиал в Республике Татарстан ПАО ""Ростелеком"""	0.29
01001.0384.УПЦ	0.29
01004.0384.Филиал ОЦО	0.28
